('спб', 51.22512722261894)
('news', 46.720396217919856)
('новости', 24.30452996785283)
('sports', 14.431217226185177)
('politics', 11.34733243170322)
('россия', 8.076982983362965)
('usa', 6.905925480186125)
('local', 5.467574935590757)
('world', 4.723392194629541)
('кино', 3.6936205272067877)
('невскиеновости', 3.5358338390462576)
('business', 3.500969011217039)
('maga', 3.3066926885401338)
('украина', 3.2647251829716177)
('breaking', 3.24460958252937)
('health', 3.226807352739659)
('путин', 3.119765020099429)
('topnews', 2.4866606690390487)
('blacklivesmatter', 2.3712176857952403)
('спорт', 2.0583738825730333)
('tcot', 1.9411937435154552)
('chicago', 1.8741196126678745)
('trump', 1.6156757672296322)
('сша', 1.5652480319752422)
('tech', 1.5463529515902936)
('питер', 1.2285453596831755)
('texas', 1.224211407011096)
('музыка', 1.224173106172478)
('isis', 1.1828116049838753)
('newyork', 1.012783117671241)
('entertainment', 0.9968414575086241)
('fakenews', 0.9811449227131632)
('sanjose', 0.9748857145532122)
('pjnet', 0.9563430018835501)
('crime', 0.9027099120016955)
('выставки', 0.8976235606332066)
('life', 0.8655912926022357)
('зачистыевыборы', 0.8482231389835297)
('environment', 0.803139647410991)
('политика', 0.7954130915670916)
('пластмассовыйвек', 0.7868754090742346)
('крым', 0.78458501892487)
('авто', 0.768299502344437)
('rt', 0.7411127159635342)
('makeamericagreatagain', 0.6460074780259577)
('рф', 0.6138764789443267)
('красавицы', 0.6067695455562941)
('syria', 0.6030084032039928)
('nowplaying', 0.591958185697786)
('americafirst', 0.5567026893146618)
('сирия', 0.5559324168935637)
('stlouis', 0.5548685047097265)
('russia', 0.5405916543323781)
('образроссии', 0.5275863917971519)
('2a', 0.5159659173604083)
('москва', 0.5122098817865894)
('sandiego', 0.5041820260122273)
('showbiz', 0.4908890816224916)
('love', 0.4717471736108924)
('blm', 0.46344780744721503)
('obama', 0.4468048163730127)
('ес', 0.4371810923228948)
('science', 0.4358363073225246)
('merkel', 0.43276713345459095)
('омск', 0.4291481297700503)
('wakeupamerica', 0.4020115600442247)
('нижнийновгород', 0.3994351902998445)
('blacktwitter', 0.39393689213377375)
('финляндия', 0.38689464460651846)
('выборы', 0.3861405436506146)
('quote', 0.37965238158870174)
('money', 0.36453716841048966)
('челябинск', 0.3447407416233938)
('celebs', 0.3408468230305496)
('rap', 0.3386202676122151)
('trumptrain', 0.33860154275777954)
('policebrutality', 0.33711376795990156)
('america', 0.33554683809554614)
('blacktolive', 0.3045444370585296)
('baseball', 0.2988129293417618)
('ccot', 0.28929900102901585)
('cleveland', 0.28919686545936746)
('art', 0.28506207714810256)
('us', 0.2814090282736791)
('is', 0.27805387481073)
('foke', 0.2741284644172442)
('бизнес', 0.2714593215304334)
('футбол', 0.2705162697706801)
('nan', 0.2631148454901614)
('ruopen', 0.2601520628406115)
('soundcloud', 0.25533892412093195)
('wisconsin', 0.2467288955995741)
('днр', 0.2396866480723188)
('baltimore', 0.22752825963542708)
('всу', 0.22310238495066428)
('союзникироссии', 0.22125288001028165)
('новосибирск', 0.21839478631962134)
('سوريا', 0.21474514196418615)
('iraq', 0.20503715606910833)
('music', 0.20323957004329696)
('hockey', 0.20263952357161277)
('true', 0.19452315030355544)
('saa', 0.18511731546868734)
('aleppo', 0.1808105989485143)
('культура', 0.17954156449563327)
('лнр', 0.16634820228630473)
('la', 0.16235725490229455)
('erdogan', 0.16161421863310263)
('داعش', 0.15688534175838298)
('hillary', 0.15436769996655061)
('всрф', 0.15155897180122035)
('eu', 0.1511146820732499)
('тула', 0.15031376898125726)
('история', 0.14841149399655632)
('flüchtlinge', 0.14324173191285453)
('казань', 0.1364956775375795)
('киев', 0.1328851851505095)
('петербург', 0.1318468068590844)
('racism', 0.12920149560519154)
('quotes', 0.12841505171889908)
('deutschland', 0.1267502419336306)
('milwaukee', 0.12339508847068155)
('maryland', 0.12336444779978704)
('feelthebern', 0.12223584975517253)
('np', 0.12202306731840508)
('война', 0.1176635807539137)
('юмор', 0.11605749892119303)
('hillaryclinton', 0.1145748309017975)
('уфа', 0.11428970243652914)
('общество', 0.11140352146421552)
('аналитика', 0.1088220449413529)
('staywoke', 0.10801006716264833)
('turkey', 0.10469236340857037)
('police', 0.1026411407181322)
('gop', 0.10253900514848385)
('events', 0.1024896396231538)
('hiphop', 0.10221983149333268)
('актуально', 0.10062140982833565)
('еаэс', 0.09816079372955692)
('донецк', 0.09705432505836621)
('god', 0.0968858013684464)
('p2', 0.09589508634285719)
('btp', 0.09546611695033402)
('ульяновск', 0.09241907245582424)
('islam', 0.09201904147470145)
('порошенко', 0.09158156078470758)
('türkei', 0.09096874736681734)
('buildthewall', 0.09067595873382535)
('neverhillary', 0.09054318249328246)
('crookedhillary', 0.0884749372079029)
('blackhistory', 0.08837109937876039)
('atlanta', 0.08806043702107993)
('afd', 0.08729527137846421)
('nyc', 0.08349753044703888)
('draintheswamp', 0.08290429301333124)
('hannity', 0.08216295900363348)
('иркутск', 0.08135098122492891)
('лавров', 0.0781949921227942)
('eaec', 0.07707150085666209)
('cdu', 0.07673785799581075)
('екатеринбург', 0.07360825391583518)
('blackhistorymonth', 0.07166001792479247)
('liberallogic', 0.07008627902246047)
('сми', 0.06932111337984474)
('красноярск', 0.06889044172782743)
('raqqa', 0.06851594463911673)
('donaldtrump', 0.06808357072760528)
('detroit', 0.06756097706290444)
('brexit', 0.0674043691894436)
('ff', 0.06510802113184935)
('teaparty', 0.060453192545124775)
('today', 0.05947183994675333)
('донбасс', 0.05797214933241638)
('clinton', 0.05791086799062736)
('игил', 0.05777128271210792)
('cops', 0.057481898598104195)
('экономика', 0.057344866708825964)
('followmonday', 0.056828230952354605)
('зенит', 0.05642990223072595)
('deirezzor', 0.05524002284432242)
('israel', 0.054925955967653664)
('damascus', 0.054775306002422315)
('nodapl', 0.05477019922393989)
('cnn', 0.05453528741374864)
('nra', 0.05436421033458762)
('berlin', 0.052901969429121745)
('iran', 0.051958917669368436)
('волгоград', 0.051249926590059315)
('veterans', 0.050863513684889644)
('obamacare', 0.05049923015314377)
('benghazi', 0.0499664229314781)
('пермь', 0.04954596483642563)
('mondaymotivation', 0.04904635167489567)
('обама', 0.04810585330438358)
('presidenttrump', 0.04799690869675864)
('blackexcellence', 0.047304089082643844)
('воронеж', 0.04651934745584552)
('hamburg', 0.04609122919306942)
('ярославль', 0.04529031610107676)
('potus', 0.04520009634788737)
('rednationrising', 0.04466728912622169)
('syrien', 0.04464260636355667)
('hillaryforprison', 0.044612816822409224)
('russian', 0.04453621514517294)
('retweet', 0.044503872214784294)
('spd', 0.044377905012217965)
('acab', 0.04383658649308159)
('ukraine', 0.04358890773668429)
('sdf', 0.04351656170818336)
('армия', 0.04313185106250782)
('санкции', 0.042991414654241306)
('минобороны', 0.04272075539467312)
('оон', 0.04248329019524065)
('красотыроссии', 0.0420032530178933)
('العراق', 0.04141086671393274)
('mosul', 0.04075209228970074)
('video', 0.040215880549046776)
('lockherup', 0.039771590821076355)
('periscope', 0.03894769722591282)
('bluelivesmatter', 0.03892897237147728)
('fridayfeeling', 0.03881151646638165)
('games', 0.03857320013720212)
('жизнь', 0.038479575865024436)
('homs', 0.037538226364765274)
('g20', 0.03643431108281578)
('rapstationradio', 0.03630919500999652)
('sethrich', 0.0361942924941421)
('banislam', 0.03542061555405568)
('patriots', 0.034746520794376415)
('сочи', 0.03465459878169288)
('wednesdaywisdom', 0.03428180395247632)
('blackgirlmagic', 0.0340485944017792)
('guncontrol', 0.03383325857577055)
('noticias', 0.03366728827509194)
('putin', 0.03360260241431464)
('ru_ff', 0.033206827081927195)
('nevertrump', 0.03298978899642441)
('democrats', 0.03239740269246384)
('нато', 0.03225356176520905)
('black', 0.03192077003410477)
('луганск', 0.031888427103716116)
('targets', 0.03168756048340765)
('opiceisis', 0.031513930015005416)
('iceisis', 0.03125348431240207)
('follow', 0.030773447135054716)
('resist', 0.029948702410144107)
('national', 0.029690810096781962)
('followthewhiterabbit', 0.029670382982852288)
('cruzcrew', 0.029461005065073122)
('روسيا', 0.02932482430554196)
('thefive', 0.027895777460211813)
('tamirrice', 0.02770852891585646)
('архангельск', 0.027661716779767625)
('fbi', 0.027435316267047066)
('neverforget', 0.02727019709611553)
('artyoucanhear', 0.026841227703592364)
('pizzagate', 0.026357786007256735)
('syrian', 0.026310122741420826)
('китай', 0.02591179401979217)
('осознание', 0.025819872007108637)
('happy', 0.025380689057620635)
('breakingnews', 0.02501810778536891)
('thursdaythoughts', 0.02501300100688649)
('msm', 0.02459424517132816)
('china', 0.024464022320026486)
('tucker', 0.024435935038373182)
('religionofpeace', 0.024069949247133182)
('freedom', 0.02376950044641755)
('олимпиада', 0.023761840278693925)
('berniesanders', 0.0236724716552516)
('justice', 0.023647788892586574)
('брикс', 0.0233711717247889)
('military', 0.023201796905122016)
('top', 0.023193285607651316)
('бомбит', 0.02302135739874322)
('london', 0.022968587354424898)
('pedogate', 0.022960076056954198)
('حلب', 0.02250812616126015)
('amjoy', 0.022471527582136146)
('theresistance', 0.022245127069415588)
('islamistheproblem', 0.022120862126343403)
('cop', 0.02202042881618917)
('yemen', 0.021841691569304517)
('фото', 0.021739555999656143)
('boston', 0.021734449221173725)
('summer', 0.02149443063250005)
('hama', 0.021244198486861536)
('climatechange', 0.021142062917213163)
('ростовнадону', 0.02085267880320944)
('streetart', 0.020781183904455578)
('uniteblue', 0.020775225996226093)
('truth', 0.02072841386013725)
('dnc', 0.02022794956886023)
('корпусзачистыевыборы', 0.020222842790377806)
('antifa', 0.020049212321975575)
('jesus', 0.019908775913709063)
('wethepeople', 0.019890902189020596)
('mixtape', 0.019773446283924967)
('imho', 0.019363201745837336)
('ссср', 0.019102756043233988)
('новороссия', 0.019076371021074824)
('flintwatercrisis', 0.018654210666528215)
('lnyhbt', 0.01860144062220989)
('wikileaks', 0.018516327647502915)
('womensmarch', 0.017958837663172213)
('memphis', 0.01756391346053184)
('weloveyoutooniall', 0.01755455103331407)
('dobbs', 0.01750263211874281)
('турция', 0.017465182409871743)
('tlot', 0.017449010944677417)
('ihq', 0.01736389796997044)
('refugees', 0.01725410223259844)
('захарова', 0.017236228507909974)
('одесса', 0.017073662726219647)
('freddiegray', 0.01700216782746579)
('tbt', 0.01687705175464653)
('ferguson', 0.016873647235658252)
('repost', 0.01676214923879211)
('самара', 0.016711932583714992)
('patrioquotes', 0.016682143042567554)
('майдан', 0.0163936100583109)
('dallas', 0.016364671646910526)
('faith', 0.01630253917537443)
('facebook', 0.016300836915880294)
('falcons', 0.016247215741814897)
('savedonbasspeople', 0.016219979589908666)
('flashbackfriday', 0.016177423102555176)
('imwithher', 0.015925488697422524)
('город', 0.01574930483977908)
